id,course,chapter,section,topic,knowledge_point,definition,formula,example,keywords,source_file,source_page,remark
KP-0063,高等数学,第10章,10.4 三重积分概念计算,直角坐标计算,先一后二法,先z再二重积分,∬_D dxdy∫_{z1}^{z2}f dz,单位正方体积分,先一后二、投影法,高数下册,157,直角坐标计算
KP-0064,高等数学,第10章,10.5 三重积分计算,柱坐标计算,柱坐标变换,"x=rcosθ,y=rsinθ,z=z,dV=rdrdθdz",∭f(...)rdrdθdz,柱形区域积分,柱坐标、柱形区域,高数下册,161,柱坐标适用
KP-0065,高等数学,第10章,10.6 三重积分计算,球坐标计算,球坐标变换,"x=rsinφcosθ等,dV=r²sinφdrdφdθ",∭f(...)r²sinφ...,球体积计算,球坐标、球形区域,高数下册,164,球坐标适用
KP-0066,高等数学,第10章,10.7 重积分应用,几何应用,平面面积,二重积分求面积,S=∬_D 1dσ,单位圆面积π,面积、二重积分,高数下册,168,几何应用
KP-0067,高等数学,第10章,10.7 重积分应用,几何应用,空间体积,二重/三重求体积,V=∬(z2−z1)dσ=∭1dV,z=x²+y²与z=4围体积,体积、重积分应用,高数下册,169,几何应用
KP-0068,高等数学,第10章,10.7 重积分应用,物理应用,质心,静矩/质量,"x̄=My/M, ȳ=Mx/M",均匀圆盘质心原点,质心、静矩、质量,高数下册,171,物理应用
KP-0069,高等数学,第11章,11.1 对弧长曲线积分,对弧长曲线积分,对弧长积分定义,弧长积分第一类,∫_L f ds=limΣfΔs_i,∫_L 1ds=弧长,第一类、弧长、曲线积分,高数下册,180,第一类曲线积分
KP-0070,高等数学,第11章,11.1 对弧长曲线积分,对弧长积分计算,参数方程计算,化为参数定积分,∫_α^β f(...)√x’²+y’²dt,单位圆x²积分,参数方程、定积分,高数下册,182,计算方法
KP-0071,高等数学,第11章,11.2 对坐标曲线积分,对坐标曲线积分,对坐标积分定义,有向曲线第二类,∫_L Pdx+Qdy,"从(0,0)到(1,1)积分",第二类、有向、曲线积分,高数下册,188,第二类曲线积分
KP-0072,高等数学,第11章,11.2 对坐标曲线积分,两类曲线关系,两类积分关系,方向余弦联系,∫Pdx+Qdy=∫(Pcosα+Qcosβ)ds,直线段方向余弦验证,两类转换、方向余弦,高数下册,193,积分关系
KP-0073,高等数学,第11章,11.3 格林公式,格林公式,格林公式,曲线积分转二重,∮Pdx+Qdy=∬(∂Q/∂x−∂P/∂y)dσ,单位圆正向积分,格林公式、正向边界,高数下册,196,曲线积分核心公式
KP-0074,高等数学,第11章,11.3 格林公式,积分与路径无关,路径无关条件,单连通域∂Q/∂x=∂P/∂y,∂Q/∂x=∂P/∂y,2xydx+x²dy与路径无关,路径无关、偏导相等,高数下册,200,简化积分条件
KP-0075,高等数学,第11章,11.4 对面积曲面积分,对面积曲面积分,对面积积分定义,第一类曲面积分,∬_Σ f dS=limΣfΔS_i,∬1dS=曲面面积,第一类、面积、曲面积分,高数下册,208,第一类曲面积分
KP-0076,高等数学,第11章,11.5 对坐标曲面积分,对坐标曲面积分,对坐标积分定义,有向曲面第二类,∬_Σ Pdydz+Qdzdx+Rdxdy,圆域上侧积分,第二类、有向、曲面积分,高数下册,215,第二类曲面积分
KP-0077,高等数学,第11章,11.6 高斯公式,高斯公式,高斯公式,曲面积分转三重,∯=∭(∂P/∂x+∂Q/∂y+∂R/∂z)dV,球外侧积分,高斯公式、外侧、三重积分,高数下册,224,曲面积分核心公式
