id,course,chapter,section,problem_type,question,options,answer,analysis_steps,knowledge_points,formula,difficulty,source_file,source_page,remark
OCEAN-Q-0017,远洋运输业务,第1章,1.3 信用证,简答题,信用证的基本含义是什么,,银行承诺凭单付款的书面文件,说明开证银行|凭单付款|期限金额,信用证定义,,简单,远洋运输业务 第2版.docx,12,
OCEAN-Q-0018,远洋运输业务,第2章,2.1 班轮运输概述,选择题,班轮运输的主要特点不包括,A.固定航线|B.固定运价|C.不定期航行|D.固定港口,C,班轮为定期航行|排除错误项,班轮运输特点,,简单,远洋运输业务 第2版.docx,20,
OCEAN-Q-0019,远洋运输业务,第2章,2.2 杂货运输,简答题,传统杂货班轮运输的基本程序有哪些,,订舱装货运输交付,按流程分步骤说明,运输流程,,中等,远洋运输业务 第2版.docx,23,
OCEAN-Q-0020,远洋运输业务,第3章,3.1 提单概述,选择题,提单的功能不包括,A.物权凭证|B.运输合同证明|C.支付工具|D.收据,C,提单不是支付工具,提单功能,,简单,远洋运输业务 第2版.docx,66,
OCEAN-Q-0021,远洋运输业务,第3章,3.1 提单概述,判断题,提单可以作为物权凭证,,正确,说明可转让|代表货物所有权,提单性质,,简单,远洋运输业务 第2版.docx,66,
OCEAN-Q-0022,远洋运输业务,第3章,3.2 提单条款,简答题,提单正面记载事项包括哪些,,托运人收货人货物信息等,列举主要信息项,提单内容,,中等,远洋运输业务 第2版.docx,78,
OCEAN-Q-0023,远洋运输业务,第3章,3.3 提单业务,选择题,无单放货是指,A.无货运输|B.无提单交货|C.无合同运输|D.无保险运输,B,理解概念|无提单交货,无单放货,,中等,远洋运输业务 第2版.docx,90,
OCEAN-Q-0024,远洋运输业务,第4章,4.1 租船运输,选择题,租船运输的主要类型包括,A.航次租船和定期租船|B.班轮运输|C.航空运输|D.铁路运输,A,识记分类|两大类型,租船运输分类,,简单,远洋运输业务 第2版.docx,99,
OCEAN-Q-0025,远洋运输业务,第6章,6.1 成本构成,简答题,船舶营运成本主要包括哪些,,固定成本和变动成本,分类说明成本结构,船舶成本,,中等,远洋运输业务 第2版.docx,147,
MATHUP-Q-0001,高等数学,第1章,函数与极限,判断题,判断函数 f(x)=1/x 在 x→0 时的极限是否存在,,不存在,左右极限分别为+∞和-∞|左右极限不相等|因此极限不存在,极限|左右极限,,简单,高等数学第8版上册.pdf,10,
MATHUP-Q-0002,高等数学,第1章,函数与极限,计算题,计算极限 lim(x→0) sinx/x,,1,利用基本极限公式|sinx≈x|极限为1,基本极限|三角函数极限,lim_{x→0} sinx/x=1,简单,高等数学第8版上册.pdf,12,
MATHUP-Q-0003,高等数学,第1章,函数与极限,判断题,判断函数在某点是否连续：f(x)=x^2 在 x=1,,连续,函数在该点有定义|极限存在|极限等于函数值,连续性定义|多项式函数,,简单,高等数学第8版上册.pdf,15,
MATHUP-Q-0004,高等数学,第1章,函数与极限,计算题,求极限 lim(x→∞)(1+1/x)^x,,e,利用重要极限公式|转化为指数形式|得到e,重要极限|指数极限,lim_{x→∞}(1+1/x)^x=e,中等,高等数学第8版上册.pdf,18,
MATHUP-Q-0005,高等数学,第2章,导数与微分,计算题,求函数 f(x)=x^3 的导数,,3x^2,使用幂函数求导法则|逐步求导,导数定义|幂函数求导,f'(x)=3x^2,简单,高等数学第8版上册.pdf,35,
MATHUP-Q-0006,高等数学,第2章,导数与微分,计算题,求函数 f(x)=sinx 的导数,,cosx,记忆基本导数公式|直接应用,三角函数求导,f'(x)=cosx,简单,高等数学第8版上册.pdf,36,
MATHUP-Q-0007,高等数学,第2章,导数与微分,计算题,求函数 f(x)=lnx 的导数,,1/x,利用对数函数求导公式|直接代入,对数求导,f'(x)=1/x,简单,高等数学第8版上册.pdf,38,
MATHUP-Q-0008,高等数学,第2章,导数与微分,计算题,求复合函数 f(x)=sin(x^2) 的导数,,2xcos(x^2),使用链式法则|外函数求导|乘以内函数导数,链式法则|复合函数,f'(x)=2xcos(x^2),中等,高等数学第8版上册.pdf,40,
MATHUP-Q-0009,高等数学,第2章,导数与微分,计算题,求函数 f(x)=xlnx 的导数,,lnx+1,使用乘积法则|分别求导|相加,乘积法则|对数函数,f'(x)=lnx+1,中等,高等数学第8版上册.pdf,42,
MATHUP-Q-0010,高等数学,第3章,微分中值定理与导数的应用,判断题,判断函数单调性：f(x)=x^2,,"在(0,+∞)单调增",求导 f'(x)=2x|判断导数符号|得出单调性,单调性|导数判定,,简单,高等数学第8版上册.pdf,60,
MATHUP-Q-0011,高等数学,第3章,微分中值定理与导数的应用,计算题,求函数极值：f(x)=x^3-3x,,极大值1 极小值-1,求导=3x^2-3|令导数为0|判断符号变化,极值|导数判定,,中等,高等数学第8版上册.pdf,62,
MATHUP-Q-0012,高等数学,第3章,微分中值定理与导数的应用,判断题,判断函数凹凸性：f(x)=x^2,,开口向上,求二阶导数=2|大于0说明凸,凹凸性|二阶导数,,简单,高等数学第8版上册.pdf,65,
MATHUP-Q-0013,高等数学,第4章,不定积分,计算题,计算 ∫x^2 dx,,x^3/3+C,使用幂函数积分公式|直接计算,不定积分|幂函数,∫x^n dx=x^{n+1}/(n+1),简单,高等数学第8版上册.pdf,80,
MATHUP-Q-0014,高等数学,第4章,不定积分,计算题,计算 ∫cosx dx,,sinx+C,利用基本积分公式|直接写出,三角积分,,简单,高等数学第8版上册.pdf,82,
MATHUP-Q-0015,高等数学,第4章,不定积分,计算题,计算 ∫1/x dx,,ln|x|+C,记忆基本公式|注意绝对值,对数积分,,简单,高等数学第8版上册.pdf,83,
MATHUP-Q-0016,高等数学,第4章,不定积分,计算题,计算 ∫e^x dx,,e^x+C,指数函数积分公式,指数积分,,简单,高等数学第8版上册.pdf,84,
MATHUP-Q-0017,高等数学,第5章,定积分,计算题,计算 ∫(0到1) x dx,,1/2,利用定积分公式|代入上下限,定积分计算,,简单,高等数学第8版上册.pdf,100,
MATHUP-Q-0018,高等数学,第5章,定积分,计算题,计算 ∫(0到1) x^2 dx,,1/3,求原函数|代入上下限|计算结果,定积分,,简单,高等数学第8版上册.pdf,101,
MATHUP-Q-0019,高等数学,第5章,定积分,简答题,判断定积分几何意义,,曲边梯形面积,分析积分定义|联系面积,几何意义|定积分,,简单,高等数学第8版上册.pdf,102,
MATHUP-Q-0020,高等数学,第6章,定积分的应用,计算题,求曲线 y=x^2 与x轴围成面积,,1/3,建立积分表达式|计算定积分,面积计算,,中等,高等数学第8版上册.pdf,120,
MATHUP-Q-0021,高等数学,第6章,定积分的应用,计算题,求旋转体体积（y=x，绕x轴）,,1/3π,使用体积公式|建立积分|计算,旋转体体积,,中等,高等数学第8版上册.pdf,125,
MATHUP-Q-0022,高等数学,第7章,微分方程,计算题,求微分方程 y'=y 的通解,,Ce^x,分离变量|积分求解,微分方程|分离变量,y=Ce^x,中等,高等数学第8版上册.pdf,140,
MATHUP-Q-0023,高等数学,第7章,微分方程,计算题,求 y''=0 的通解,,y=C1x+C2,积分两次|得到通解,二阶微分方程,,简单,高等数学第8版上册.pdf,142,
MATHUP-Q-0024,高等数学,第2章,导数与微分,简答题,判断导数几何意义,,切线斜率,导数定义为极限|表示变化率,导数几何意义,,简单,高等数学第8版上册.pdf,45,
MATHUP-Q-0025,高等数学,第1章,函数与极限,简答题,判断无穷小量,,极限为0的量,定义无穷小|判断极限,无穷小,,简单,高等数学第8版上册.pdf,14,
Q-0001,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,判断题,国际贸易术语属于《远洋运输业务》中“1.1 贸易术语及相关国际惯例”需要掌握的核心内容。,,正确,国际贸易术语是本节的核心关键词之一|理解国际贸易术语有助于掌握本节业务规则,国际贸易术语|1.1 贸易术语及相关国际惯例,,简单,远洋运输业务+第2版.docx,2,
Q-0002,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,选择题,在“1.1 贸易术语及相关国际惯例”中，下列哪项与国际贸易术语最直接相关？,A.国际贸易惯例|B.城市公交票价|C.旅客值机|D.航空餐食,A,国际贸易术语与国际贸易惯例共同构成本节的核心知识链|其余选项与远洋运输业务无直接对应关系,国际贸易术语|国际贸易惯例,,简单,远洋运输业务+第2版.docx,2,
Q-0003,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,判断题,国际贸易术语只适用于国内公路客运，与“1.1 贸易术语及相关国际惯例”无关。,,错误,国际贸易术语属于远洋运输业务或国际贸易相关知识|并非国内公路客运概念,国际贸易术语|远洋运输业务,,简单,远洋运输业务+第2版.docx,2,
Q-0004,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,简答题,简述“1.1 贸易术语及相关国际惯例”中国际贸易术语的基本含义。,,国际贸易术语是本节的核心概念，应从定义、适用对象和业务作用三个方面加以说明。,先说明国际贸易术语的定义|再说明其适用对象|最后说明其在业务中的作用,国际贸易术语|概念理解,,中等,远洋运输业务+第2版.docx,2,
Q-0005,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,选择题,下列哪项通常属于“1.1 贸易术语及相关国际惯例”重点关注的内容？,A.国际贸易术语|B.旅客座位等级|C.候机楼餐饮|D.地铁运营图,A,国际贸易术语是本节直接对应的业务知识|其余选项不属于本教材任务范围,国际贸易术语|1.1 贸易术语及相关国际惯例,,简单,远洋运输业务+第2版.docx,2,
Q-0006,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,判断题,国际贸易术语用于说明交货地点、风险与费用划分。,,正确,国际贸易术语用于说明交货地点、风险与费用划分|这是本节对应的基本规则或定义,国际贸易术语|国际贸易惯例,,中等,远洋运输业务+第2版.docx,2,
Q-0007,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,简答题,说明国际贸易术语与国际贸易惯例在“1.1 贸易术语及相关国际惯例”中的关系。,,国际贸易术语与国际贸易惯例共同构成本节的重要知识点，前者侧重概念或规则，后者侧重适用或衔接。,先界定国际贸易术语|再说明国际贸易惯例|最后说明二者在业务处理中的联系,国际贸易术语|国际贸易惯例,,中等,远洋运输业务+第2版.docx,2,
Q-0008,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,选择题,下列哪项不属于“1.1 贸易术语及相关国际惯例”的常见关注点？,A.国际贸易术语|B.国际贸易惯例|C.Incoterms|D.旅客安检通道,D,国际贸易术语、国际贸易惯例、Incoterms均与本节相关|旅客安检通道不属于本节远洋运输知识,国际贸易术语|国际贸易惯例|Incoterms,,简单,远洋运输业务+第2版.docx,2,
Q-0009,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,综合题,某业务资料同时涉及国际贸易术语和国际贸易惯例，处理时应首先关注什么？,,应先核对国际贸易术语的适用条件，再结合国际贸易惯例判断责任、费用或单证处理要求。,先判断国际贸易术语是否适用|再依据国际贸易惯例核对责任或流程|最后形成业务结论,国际贸易术语|国际贸易惯例|业务处理,,困难,远洋运输业务+第2版.docx,2,
Q-0010,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,判断题,国际贸易惯例本身不是法律，只有约定采用时才产生约束力。,,正确,国际贸易惯例本身不是法律，只有约定采用时才产生约束力|该表述概括了本节的另一项基本规则,国际贸易术语|国际贸易惯例|Incoterms,,中等,远洋运输业务+第2版.docx,2,
Q-0011,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,简答题,在业务处理中如何正确把握国际贸易术语？,,应结合定义、适用范围、责任划分及单证要求综合把握国际贸易术语。,明确国际贸易术语的定义|核对其适用范围|结合责任和单证要求进行判断,国际贸易术语|业务处理,,中等,远洋运输业务+第2版.docx,2,
Q-0012,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,选择题,下列哪项最能体现“1.1 贸易术语及相关国际惯例”的实务要求？,A.按照国际贸易术语与国际贸易惯例核对业务条件|B.只看货物颜色|C.忽略合同约定|D.不审任何单据,A,本节强调根据国际贸易术语和国际贸易惯例进行业务核对|其余做法违背实务要求,国际贸易术语|国际贸易惯例|实务要求,,中等,远洋运输业务+第2版.docx,2,
Q-0013,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,综合题,如果国际贸易术语与合同或单证约定不一致，应如何处理？,,应及时核对差异原因，必要时更正、补充确认或重新签发，避免责任不清。,先发现差异|再确认原因|最后采取更正或重新确认措施,国际贸易术语|单证管理|合同管理,,困难,远洋运输业务+第2版.docx,2,
Q-0014,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,判断题,在“1.1 贸易术语及相关国际惯例”中，忽视国际贸易惯例不会影响业务结果。,,错误,国际贸易惯例通常直接关系到责任、流程或费用判断|忽视会导致处理错误,国际贸易惯例|业务判断,,中等,远洋运输业务+第2版.docx,2,
Q-0015,远洋运输业务,第1章,1.1 贸易术语及相关国际惯例,简答题,概括“1.1 贸易术语及相关国际惯例”的学习要点。,,本节应重点掌握国际贸易术语、国际贸易惯例、Incoterms等概念及其在业务中的适用规则。,梳理核心概念|掌握基本规则|结合业务流程理解应用,国际贸易术语|国际贸易惯例|Incoterms,,中等,远洋运输业务+第2版.docx,2,
Q-0016,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,判断题,FAS属于《远洋运输业务》中“1.2 适用于海运的常用贸易术语”需要掌握的核心内容。,,正确,FAS是本节的核心关键词之一|理解FAS有助于掌握本节业务规则,FAS|1.2 适用于海运的常用贸易术语,,简单,远洋运输业务+第2版.docx,5,
Q-0017,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,选择题,在“1.2 适用于海运的常用贸易术语”中，下列哪项与FAS最直接相关？,A.FOB|B.城市公交票价|C.旅客值机|D.航空餐食,A,FAS与FOB共同构成本节的核心知识链|其余选项与远洋运输业务无直接对应关系,FAS|FOB,,简单,远洋运输业务+第2版.docx,5,
Q-0018,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,判断题,FAS只适用于国内公路客运，与“1.2 适用于海运的常用贸易术语”无关。,,错误,FAS属于远洋运输业务或国际贸易相关知识|并非国内公路客运概念,FAS|远洋运输业务,,简单,远洋运输业务+第2版.docx,5,
Q-0019,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,简答题,简述“1.2 适用于海运的常用贸易术语”中FAS的基本含义。,,FAS是本节的核心概念，应从定义、适用对象和业务作用三个方面加以说明。,先说明FAS的定义|再说明其适用对象|最后说明其在业务中的作用,FAS|概念理解,,中等,远洋运输业务+第2版.docx,5,
Q-0020,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,选择题,下列哪项通常属于“1.2 适用于海运的常用贸易术语”重点关注的内容？,A.FAS|B.旅客座位等级|C.候机楼餐饮|D.地铁运营图,A,FAS是本节直接对应的业务知识|其余选项不属于本教材任务范围,FAS|1.2 适用于海运的常用贸易术语,,简单,远洋运输业务+第2版.docx,5,
Q-0021,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,判断题,FOB、CFR、CIF、FAS适用于海运或内河运输。,,正确,FOB、CFR、CIF、FAS适用于海运或内河运输|这是本节对应的基本规则或定义,FAS|FOB,,中等,远洋运输业务+第2版.docx,5,
Q-0022,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,简答题,说明FAS与FOB在“1.2 适用于海运的常用贸易术语”中的关系。,,FAS与FOB共同构成本节的重要知识点，前者侧重概念或规则，后者侧重适用或衔接。,先界定FAS|再说明FOB|最后说明二者在业务处理中的联系,FAS|FOB,,中等,远洋运输业务+第2版.docx,5,
Q-0023,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,选择题,下列哪项不属于“1.2 适用于海运的常用贸易术语”的常见关注点？,A.FAS|B.FOB|C.CFR|D.旅客安检通道,D,FAS、FOB、CFR均与本节相关|旅客安检通道不属于本节远洋运输知识,FAS|FOB|CFR,,简单,远洋运输业务+第2版.docx,5,
Q-0024,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,综合题,某业务资料同时涉及FAS和FOB，处理时应首先关注什么？,,应先核对FAS的适用条件，再结合FOB判断责任、费用或单证处理要求。,先判断FAS是否适用|再依据FOB核对责任或流程|最后形成业务结论,FAS|FOB|业务处理,,困难,远洋运输业务+第2版.docx,5,
Q-0025,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,判断题,FOB、CFR、CIF的风险通常在装运港装船时转移。,,正确,FOB、CFR、CIF的风险通常在装运港装船时转移|该表述概括了本节的另一项基本规则,FAS|FOB|CFR,,中等,远洋运输业务+第2版.docx,5,
Q-0026,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,简答题,在业务处理中如何正确把握FAS？,,应结合定义、适用范围、责任划分及单证要求综合把握FAS。,明确FAS的定义|核对其适用范围|结合责任和单证要求进行判断,FAS|业务处理,,中等,远洋运输业务+第2版.docx,5,
Q-0027,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,选择题,下列哪项最能体现“1.2 适用于海运的常用贸易术语”的实务要求？,A.按照FAS与FOB核对业务条件|B.只看货物颜色|C.忽略合同约定|D.不审任何单据,A,本节强调根据FAS和FOB进行业务核对|其余做法违背实务要求,FAS|FOB|实务要求,,中等,远洋运输业务+第2版.docx,5,
Q-0028,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,综合题,如果FAS与合同或单证约定不一致，应如何处理？,,应及时核对差异原因，必要时更正、补充确认或重新签发，避免责任不清。,先发现差异|再确认原因|最后采取更正或重新确认措施,FAS|单证管理|合同管理,,困难,远洋运输业务+第2版.docx,5,
Q-0029,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,判断题,在“1.2 适用于海运的常用贸易术语”中，忽视FOB不会影响业务结果。,,错误,FOB通常直接关系到责任、流程或费用判断|忽视会导致处理错误,FOB|业务判断,,中等,远洋运输业务+第2版.docx,5,
Q-0030,远洋运输业务,第1章,1.2 适用于海运的常用贸易术语,简答题,概括“1.2 适用于海运的常用贸易术语”的学习要点。,,本节应重点掌握FAS、FOB、CFR等概念及其在业务中的适用规则。,梳理核心概念|掌握基本规则|结合业务流程理解应用,FAS|FOB|CFR,,中等,远洋运输业务+第2版.docx,5,
Q-0031,远洋运输业务,第1章,2.1 信用证的含义及其当事人,判断题,信用证属于《远洋运输业务》中“2.1 信用证的含义及其当事人”需要掌握的核心内容。,,正确,信用证是本节的核心关键词之一|理解信用证有助于掌握本节业务规则,信用证|2.1 信用证的含义及其当事人,,简单,远洋运输业务+第2版.docx,12,
Q-0032,远洋运输业务,第1章,2.1 信用证的含义及其当事人,选择题,在“2.1 信用证的含义及其当事人”中，下列哪项与信用证最直接相关？,A.开证申请人|B.城市公交票价|C.旅客值机|D.航空餐食,A,信用证与开证申请人共同构成本节的核心知识链|其余选项与远洋运输业务无直接对应关系,信用证|开证申请人,,简单,远洋运输业务+第2版.docx,12,
Q-0033,远洋运输业务,第1章,2.1 信用证的含义及其当事人,判断题,信用证只适用于国内公路客运，与“2.1 信用证的含义及其当事人”无关。,,错误,信用证属于远洋运输业务或国际贸易相关知识|并非国内公路客运概念,信用证|远洋运输业务,,简单,远洋运输业务+第2版.docx,12,
Q-0034,远洋运输业务,第1章,2.1 信用证的含义及其当事人,简答题,简述“2.1 信用证的含义及其当事人”中信用证的基本含义。,,信用证是本节的核心概念，应从定义、适用对象和业务作用三个方面加以说明。,先说明信用证的定义|再说明其适用对象|最后说明其在业务中的作用,信用证|概念理解,,中等,远洋运输业务+第2版.docx,12,
Q-0035,远洋运输业务,第1章,2.1 信用证的含义及其当事人,选择题,下列哪项通常属于“2.1 信用证的含义及其当事人”重点关注的内容？,A.信用证|B.旅客座位等级|C.候机楼餐饮|D.地铁运营图,A,信用证是本节直接对应的业务知识|其余选项不属于本教材任务范围,信用证|2.1 信用证的含义及其当事人,,简单,远洋运输业务+第2版.docx,12,
Q-0036,远洋运输业务,第1章,2.1 信用证的含义及其当事人,判断题,信用证是银行根据申请开立的有条件付款承诺。,,正确,信用证是银行根据申请开立的有条件付款承诺|这是本节对应的基本规则或定义,信用证|开证申请人,,中等,远洋运输业务+第2版.docx,12,
Q-0037,远洋运输业务,第1章,2.1 信用证的含义及其当事人,简答题,说明信用证与开证申请人在“2.1 信用证的含义及其当事人”中的关系。,,信用证与开证申请人共同构成本节的重要知识点，前者侧重概念或规则，后者侧重适用或衔接。,先界定信用证|再说明开证申请人|最后说明二者在业务处理中的联系,信用证|开证申请人,,中等,远洋运输业务+第2版.docx,12,
Q-0038,远洋运输业务,第1章,2.1 信用证的含义及其当事人,选择题,下列哪项不属于“2.1 信用证的含义及其当事人”的常见关注点？,A.信用证|B.开证申请人|C.开证行|D.旅客安检通道,D,信用证、开证申请人、开证行均与本节相关|旅客安检通道不属于本节远洋运输知识,信用证|开证申请人|开证行,,简单,远洋运输业务+第2版.docx,12,
Q-0039,远洋运输业务,第1章,2.1 信用证的含义及其当事人,综合题,某业务资料同时涉及信用证和开证申请人，处理时应首先关注什么？,,应先核对信用证的适用条件，再结合开证申请人判断责任、费用或单证处理要求。,先判断信用证是否适用|再依据开证申请人核对责任或流程|最后形成业务结论,信用证|开证申请人|业务处理,,困难,远洋运输业务+第2版.docx,12,
Q-0040,远洋运输业务,第1章,2.1 信用证的含义及其当事人,判断题,开证行承担第一性付款责任，银行只审核单据。,,正确,开证行承担第一性付款责任，银行只审核单据|该表述概括了本节的另一项基本规则,信用证|开证申请人|开证行,,中等,远洋运输业务+第2版.docx,12,
Q-0041,远洋运输业务,第1章,2.1 信用证的含义及其当事人,简答题,在业务处理中如何正确把握信用证？,,应结合定义、适用范围、责任划分及单证要求综合把握信用证。,明确信用证的定义|核对其适用范围|结合责任和单证要求进行判断,信用证|业务处理,,中等,远洋运输业务+第2版.docx,12,
Q-0042,远洋运输业务,第1章,2.1 信用证的含义及其当事人,选择题,下列哪项最能体现“2.1 信用证的含义及其当事人”的实务要求？,A.按照信用证与开证申请人核对业务条件|B.只看货物颜色|C.忽略合同约定|D.不审任何单据,A,本节强调根据信用证和开证申请人进行业务核对|其余做法违背实务要求,信用证|开证申请人|实务要求,,中等,远洋运输业务+第2版.docx,12,
Q-0043,远洋运输业务,第1章,2.1 信用证的含义及其当事人,综合题,如果信用证与合同或单证约定不一致，应如何处理？,,应及时核对差异原因，必要时更正、补充确认或重新签发，避免责任不清。,先发现差异|再确认原因|最后采取更正或重新确认措施,信用证|单证管理|合同管理,,困难,远洋运输业务+第2版.docx,12,
